Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
Florida,2022,18,5/7/2022,4353,3945,53,831,144,107,54,224,68,74,109,953,281,95,59
Florida,2022,19,5/14/2022,4305,3888,64,897,127,107,53,216,56,60,102,921,317,92,51
Florida,2022,20,5/21/2022,4362,3918,60,937,127,123,61,212,56,75,91,875,292,123,75
Florida,2022,21,5/28/2022,4311,3884,48,823,128,125,42,197,46,64,117,879,323,152,105
Florida,2022,22,6/4/2022,4455,4048,59,920,151,120,53,221,55,71,120,929,298,181,123
Florida,2022,23,6/11/2022,4544,4121,62,929,126,128,61,210,63,72,117,945,300,198,135
Florida,2022,24,6/18/2022,4438,4044,43,884,144,120,65,216,58,83,105,941,309,236,164
Florida,2022,25,6/25/2022,4523,4174,52,966,120,101,46,199,47,62,152,951,312,286,207
Florida,2022,26,7/2/2022,4330,4000,55,864,140,127,41,185,49,69,168,887,331,261,167
Florida,2022,27,7/9/2022,4356,4027,46,880,148,113,54,187,53,75,207,886,280,298,199
Florida,2022,28,7/16/2022,4446,4109,68,850,140,115,48,190,48,83,224,899,294,316,230
Florida,2022,29,7/23/2022,4641,4281,55,907,148,116,45,211,52,78,210,915,359,341,220
Florida,2022,30,7/30/2022,4445,4147,44,876,148,116,43,209,54,76,228,915,295,340,225
Florida,2022,31,8/6/2022,4501,4191,64,876,125,124,49,193,46,80,275,883,301,349,229
Florida,2022,32,8/13/2022,4414,4136,47,889,124,134,58,210,47,69,270,861,303,335,217
Florida,2022,33,8/20/2022,4584,4314,47,913,149,106,45,202,70,65,279,943,350,343,230
Florida,2022,34,8/27/2022,4468,4210,55,913,132,115,43,219,39,68,275,912,291,295,195
Florida,2022,35,9/3/2022,4294,4043,52,870,110,112,37,201,49,72,334,874,300,282,175
Florida,2022,36,9/10/2022,4199,4012,48,836,123,119,44,181,54,55,332,876,296,240,147
Florida,2022,37,9/17/2022,3688,3611,47,846,105,92,41,187,45,61,296,718,291,189,113
Florida,2022,38,9/24/2022,2699,2697,25,655,90,95,29,141,36,43,204,530,235,137,86
Georgia,2020,1,1/4/2020,1803,1657,41,337,61,83,61,100,44,41,23,401,93,0,0
Georgia,2020,2,1/11/2020,1807,1664,39,343,44,109,44,118,51,41,19,400,74,0,0
Georgia,2020,3,1/18/2020,1746,1608,38,318,54,95,39,106,40,46,24,389,93,0,0
Georgia,2020,4,1/25/2020,1829,1695,35,368,51,99,55,115,40,52,20,397,77,0,0
Georgia,2020,5,2/1/2020,1797,1671,29,357,56,75,34,108,39,47,24,411,100,0,0
Georgia,2020,6,2/8/2020,1781,1627,28,350,56,81,45,96,31,39,23,418,104,0,0
Georgia,2020,7,2/15/2020,1762,1601,39,322,50,85,34,99,46,48,22,415,89,,
Georgia,2020,8,2/22/2020,1749,1603,37,335,49,90,50,107,41,37,22,398,86,0,0
Georgia,2020,9,2/29/2020,1860,1708,37,387,64,80,29,100,57,43,23,401,94,0,0
Georgia,2020,10,3/7/2020,1755,1594,43,325,43,82,37,80,35,37,26,432,97,,
Georgia,2020,11,3/14/2020,1784,1632,29,325,52,88,39,103,45,27,43,393,90,,
Georgia,2020,12,3/21/2020,1775,1625,34,377,47,69,40,100,41,47,14,369,90,43,41
Georgia,2020,13,3/28/2020,1881,1733,39,374,54,81,40,98,57,46,24,368,114,98,94
Georgia,2020,14,4/4/2020,2033,1866,39,360,52,108,43,111,49,37,22,358,94,221,213
Georgia,2020,15,4/11/2020,2042,1883,45,330,61,109,44,106,43,38,23,416,84,218,205
Georgia,2020,16,4/18/2020,2032,1899,33,309,61,101,36,86,37,65,24,417,109,269,250
Georgia,2020,17,4/25/2020,2040,1879,35,336,60,131,28,93,42,28,28,374,101,260,236
Georgia,2020,18,5/2/2020,1975,1840,38,325,43,102,25,101,42,37,20,396,82,275,255
Georgia,2020,19,5/9/2020,1987,1819,37,332,59,105,34,91,51,38,33,395,74,211,186
Georgia,2020,20,5/16/2020,1961,1807,35,366,61,107,23,98,40,37,21,387,86,198,173
Georgia,2020,21,5/23/2020,1911,1733,30,345,44,106,20,84,45,39,24,399,94,156,144
Georgia,2020,22,5/30/2020,1785,1632,31,302,52,93,19,101,46,40,24,356,91,145,125
Georgia,2020,23,6/6/2020,1782,1609,30,342,37,87,24,77,47,38,22,368,73,123,106
Georgia,2020,24,6/13/2020,1746,1581,22,331,37,74,32,82,33,41,27,369,78,119,105
Georgia,2020,25,6/20/2020,1780,1617,44,332,53,81,27,84,46,49,34,379,73,96,78
Georgia,2020,26,6/27/2020,1823,1654,37,347,45,84,23,89,53,46,19,363,80,129,116
Georgia,2020,27,7/4/2020,1880,1721,31,320,64,95,11,74,34,52,23,424,86,151,129
Georgia,2020,28,7/11/2020,1983,1805,39,329,56,88,19,90,49,37,20,443,73,226,203
Georgia,2020,29,7/18/2020,2177,1978,30,380,60,101,25,81,37,35,33,418,89,300,267
Georgia,2020,30,7/25/2020,2177,1994,32,342,44,95,33,79,45,34,25,413,103,377,347
Georgia,2020,31,8/1/2020,2193,2018,30,341,54,95,27,102,38,33,33,407,94,420,387
Georgia,2020,32,8/8/2020,2192,2016,36,322,60,93,33,87,39,43,19,373,86,474,428
Georgia,2020,33,8/15/2020,2245,2082,37,352,60,99,27,90,49,42,30,436,74,427,406
Georgia,2020,34,8/22/2020,2247,2074,27,354,62,78,23,94,46,43,23,429,110,415,379
Georgia,2020,35,8/29/2020,2132,1968,37,348,54,87,30,73,44,45,31,398,89,347,324
Georgia,2020,36,9/5/2020,2044,1855,37,344,61,94,28,95,36,32,23,353,84,261,245
Georgia,2020,37,9/12/2020,2073,1875,39,335,55,80,27,90,30,47,27,405,97,262,242
Georgia,2020,38,9/19/2020,1928,1789,29,349,52,76,22,79,43,34,28,380,102,226,199
Georgia,2020,39,9/26/2020,1997,1828,27,368,58,97,27,77,46,30,19,414,99,220,201
Georgia,2020,40,10/3/2020,1926,1777,34,314,45,84,27,79,41,45,31,439,100,167,149
Georgia,2020,41,10/10/2020,1886,1739,50,351,66,95,17,69,52,35,20,402,74,167,150
Georgia,2020,42,10/17/2020,1923,1743,44,308,51,103,33,86,40,47,24,416,88,155,142
Georgia,2020,43,10/24/2020,1960,1804,31,351,50,100,21,101,49,43,22,412,98,174,159
Georgia,2020,44,10/31/2020,1944,1788,43,316,46,73,28,78,47,40,15,417,98,205,190
Georgia,2020,45,11/7/2020,2020,1848,41,335,62,75,22,105,56,38,24,406,100,216,202
Georgia,2020,46,11/14/2020,2050,1868,41,357,71,94,22,69,48,46,29,407,82,233,219
Georgia,2020,47,11/21/2020,1978,1804,47,340,53,84,16,87,38,30,22,426,90,221,207
Georgia,2020,48,11/28/2020,2070,1903,34,355,53,101,21,85,45,62,23,423,81,252,226
Georgia,2020,49,12/5/2020,2171,2025,37,355,66,96,25,97,49,39,26,458,101,295,264
Georgia,2020,50,12/12/2020,2241,2093,50,401,50,90,27,98,57,42,36,421,107,343,304
Georgia,2020,51,12/19/2020,2422,2252,44,389,68,114,32,98,44,34,21,483,107,386,346
Georgia,2020,52,12/26/2020,2379,2211,34,335,59,98,39,78,62,43,22,444,108,497,464
Georgia,2020,53,1/2/2021,2725,2532,41,339,54,116,42,108,64,42,27,492,131,687,634
Georgia,2021,1,1/9/2021,2873,2718,34,371,77,118,22,95,57,44,23,497,95,839,791
Georgia,2021,2,1/16/2021,3097,2927,41,363,78,127,38,106,44,62,32,516,113,992,920
Georgia,2021,3,1/23/2021,2954,2809,49,339,69,99,30,104,50,51,23,533,123,931,873
Georgia,2021,4,1/30/2021,2768,2597,46,349,79,92,34,92,73,55,28,437,98,885,808
Georgia,2021,5,2/6/2021,2716,2519,41,336,50,102,26,98,64,50,26,481,126,724,670
Georgia,2021,6,2/13/2021,2387,2205,39,365,53,88,33,87,52,35,31,442,119,486,450
Georgia,2021,7,2/20/2021,2283,2099,31,361,52,92,41,90,33,51,24,427,89,410,371
Georgia,2021,8,2/27/2021,2108,1938,39,334,62,80,33,76,47,48,14,428,92,318,278
Georgia,2021,9,3/6/2021,1939,1765,26,343,65,71,16,85,41,38,20,375,88,258,229
Georgia,2021,10,3/13/2021,1992,1801,45,340,56,71,25,79,43,40,24,412,103,186,152
Georgia,2021,11,3/20/2021,1917,1725,37,328,60,88,26,89,36,29,16,411,91,173,141
Georgia,2021,12,3/27/2021,1886,1704,35,343,59,76,24,89,37,34,23,421,91,120,104
Georgia,2021,13,4/3/2021,1756,1594,20,324,52,75,22,98,39,38,24,363,80,138,119
Georgia,2021,14,4/10/2021,1948,1784,26,386,66,94,31,85,30,45,26,385,120,124,106
Georgia,2021,15,4/17/2021,1882,1695,27,372,35,66,22,89,56,37,31,391,99,123,96
Georgia,2021,16,4/24/2021,1893,1702,39,372,53,68,18,96,40,33,12,394,97,121,96
Georgia,2021,17,5/1/2021,1824,1646,30,321,46,81,15,80,40,51,24,379,96,111,90
Georgia,2021,18,5/8/2021,1817,1631,33,339,44,69,20,73,41,44,28,374,95,112,92
Georgia,2021,19,5/15/2021,1786,1594,33,304,55,60,15,91,46,55,22,366,115,72,64
Georgia,2021,20,5/22/2021,1892,1680,30,349,39,76,20,75,50,44,21,398,108,90,80
Georgia,2021,21,5/29/2021,1876,1694,42,366,45,73,14,86,48,39,24,402,113,81,71
Georgia,2021,22,6/5/2021,1767,1583,34,357,46,73,13,83,27,42,26,378,93,70,58
Georgia,2021,23,6/12/2021,1766,1595,26,337,58,76,22,93,35,38,28,365,84,69,57
Georgia,2021,24,6/19/2021,1725,1533,33,324,50,88,20,78,49,44,24,349,104,43,38
Georgia,2021,25,6/26/2021,1763,1584,32,383,50,79,18,99,42,22,21,373,102,40,27
Georgia,2021,26,7/3/2021,1767,1594,36,358,50,78,22,94,35,46,26,402,88,41,30
Georgia,2021,27,7/10/2021,1758,1583,23,351,43,71,24,83,38,46,21,403,92,39,28
Georgia,2021,28,7/17/2021,1744,1572,33,337,50,80,25,88,40,44,20,385,96,51,41
Georgia,2021,29,7/24/2021,1804,1626,32,373,51,70,21,92,42,44,19,353,88,77,66
Georgia,2021,30,7/31/2021,1941,1758,39,394,61,76,33,88,35,50,26,366,85,121,107
Georgia,2021,31,8/7/2021,2055,1875,38,350,47,84,30,86,42,46,16,413,103,258,241
Georgia,2021,32,8/14/2021,2340,2167,35,373,63,93,21,89,36,46,30,440,99,478,452
Georgia,2021,33,8/21/2021,2550,2396,31,345,67,100,25,90,45,44,34,428,94,699,667
Georgia,2021,34,8/28/2021,2828,2669,48,367,71,101,19,103,40,48,31,478,97,885,830
Georgia,2021,35,9/4/2021,2926,2733,30,357,67,92,32,104,44,45,27,478,91,1009,949
Georgia,2021,36,9/11/2021,2975,2776,45,373,74,85,36,103,42,51,32,472,110,969,912
Georgia,2021,37,9/18/2021,2818,2645,39,313,75,78,27,97,49,55,24,456,113,929,881
Georgia,2021,38,9/25/2021,2715,2528,52,342,59,75,22,107,48,53,27,441,112,801,752
Georgia,2021,39,10/2/2021,2436,2261,43,343,59,97,24,76,56,50,22,406,86,626,588
Georgia,2021,40,10/9/2021,2210,2013,30,344,46,82,22,72,37,39,25,376,102,490,463
Georgia,2021,41,10/16/2021,2159,1950,34,334,52,78,30,85,38,38,23,421,98,365,334
Georgia,2021,42,10/23/2021,2115,1942,35,374,61,86,23,94,39,46,18,418,91,302,275
Georgia,2021,43,10/30/2021,2058,1855,34,346,54,83,29,94,42,42,20,411,94,236,213
Georgia,2021,44,11/6/2021,1987,1780,32,306,45,84,35,82,36,30,25,416,117,171,149
Georgia,2021,45,11/13/2021,2127,1958,41,359,57,88,22,91,38,41,26,488,115,148,129
Georgia,2021,46,11/20/2021,1982,1791,38,328,63,103,31,77,35,47,24,444,91,125,111
Georgia,2021,47,11/27/2021,1949,1772,37,381,51,84,24,91,31,38,25,436,93,89,78
Georgia,2021,48,12/4/2021,2017,1821,50,346,56,81,29,92,31,41,19,460,114,116,106
Georgia,2021,49,12/11/2021,2060,1864,28,377,64,95,35,104,41,42,30,420,107,96,82
Georgia,2021,50,12/18/2021,1991,1809,38,315,49,89,21,98,44,37,21,459,101,140,128
Georgia,2021,51,12/25/2021,2110,1935,34,374,61,102,24,110,44,65,39,457,98,132,114
Georgia,2021,52,1/1/2022,2213,2007,37,364,59,103,24,96,44,52,25,450,102,224,194
Georgia,2022,1,1/8/2022,2390,2206,45,341,71,90,36,115,56,42,27,512,99,366,323
Georgia,2022,2,1/15/2022,2700,2493,41,366,71,123,45,123,57,62,29,536,119,573,497
Georgia,2022,3,1/22/2022,2807,2624,38,389,81,111,37,100,42,49,28,497,147,662,579
Georgia,2022,4,1/29/2022,2721,2533,46,352,67,96,33,101,53,57,29,498,114,679,607
Georgia,2022,5,2/5/2022,2589,2391,33,347,78,113,36,113,43,57,34,465,104,593,515
Georgia,2022,6,2/12/2022,2494,2307,44,363,60,86,19,106,49,53,22,476,112,543,456
Georgia,2022,7,2/19/2022,2286,2090,35,377,51,93,23,85,46,39,30,441,97,389,320
Georgia,2022,8,2/26/2022,2054,1855,37,307,52,98,17,100,40,46,18,404,88,280,235
Georgia,2022,9,3/5/2022,2034,1831,40,344,54,76,24,69,43,39,23,433,107,196,163
Georgia,2022,10,3/12/2022,1917,1740,39,316,51,85,16,90,55,56,20,409,91,150,105
Georgia,2022,11,3/19/2022,1815,1655,33,334,35,71,23,87,52,41,35,383,105,97,70
Georgia,2022,12,3/26/2022,1853,1670,42,331,62,68,24,69,38,54,25,420,106,74,56
Georgia,2022,13,4/2/2022,1801,1642,31,350,57,60,23,101,41,38,31,405,80,65,45
Georgia,2022,14,4/9/2022,1793,1632,30,366,47,78,16,76,44,48,18,404,94,50,28
Georgia,2022,15,4/16/2022,1809,1630,33,365,36,77,24,96,43,35,23,374,97,40,21
Georgia,2022,16,4/23/2022,1742,1570,27,321,57,61,24,76,34,49,18,414,99,37,22
Georgia,2022,17,4/30/2022,1818,1640,33,362,50,71,26,90,42,44,30,401,85,47,22
Georgia,2022,18,5/7/2022,1776,1598,39,332,51,82,19,94,37,42,22,393,95,26,18
Georgia,2022,19,5/14/2022,1770,1624,41,356,42,80,23,97,28,38,22,389,98,28,16
Georgia,2022,20,5/21/2022,1786,1624,34,369,41,61,20,87,41,45,21,390,76,26,18
Georgia,2022,21,5/28/2022,1678,1523,28,379,57,69,23,79,39,28,26,331,81,23,16
Georgia,2022,22,6/4/2022,1703,1539,27,342,45,77,24,85,36,48,27,353,96,32,21
Georgia,2022,23,6/11/2022,1764,1596,34,363,46,61,27,90,39,47,31,407,83,31,24
Georgia,2022,24,6/18/2022,1788,1634,32,371,52,69,18,78,42,34,38,398,98,54,35
Georgia,2022,25,6/25/2022,1695,1507,38,352,34,68,23,83,51,43,34,334,100,48,29
Georgia,2022,26,7/2/2022,1708,1565,31,317,42,69,19,86,36,45,45,374,76,70,50
Georgia,2022,27,7/9/2022,1842,1703,41,360,58,79,16,90,48,39,43,385,75,70,45
Georgia,2022,28,7/16/2022,1743,1622,32,341,40,79,19,86,41,32,37,400,87,83,65
Georgia,2022,29,7/23/2022,1804,1669,36,330,43,81,19,85,38,40,58,376,90,116,83
Georgia,2022,30,7/30/2022,1767,1660,37,372,40,74,22,83,48,43,48,347,94,106,84
Georgia,2022,31,8/6/2022,1748,1632,25,350,38,93,19,81,44,35,38,370,89,119,83
Georgia,2022,32,8/13/2022,1706,1605,32,358,49,71,19,80,32,47,46,349,91,102,78
Georgia,2022,33,8/20/2022,1693,1616,24,351,44,80,22,66,36,42,46,329,103,122,90
Georgia,2022,34,8/27/2022,1675,1603,31,352,42,97,21,87,42,40,45,350,92,96,62
Georgia,2022,35,9/3/2022,1533,1479,21,308,38,82,20,84,32,40,48,346,74,80,57
Georgia,2022,36,9/10/2022,1434,1405,15,297,30,69,16,96,37,29,39,321,87,73,47
Georgia,2022,37,9/17/2022,1197,1189,28,284,26,60,13,54,25,32,30,253,68,53,37
Georgia,2022,38,9/24/2022,809,809,14,183,18,54,11,41,21,28,11,187,43,41,28
Hawaii,2020,1,1/4/2020,242,222,,33,,,12,10,,,,67,18,0,0
Hawaii,2020,2,1/11/2020,242,221,,40,,,,,,,,54,15,0,0
Hawaii,2020,3,1/18/2020,215,200,,39,10,12,,,,,,44,19,0,0
Hawaii,2020,4,1/25/2020,242,224,,42,10,12,,10,,,,58,16,0,0
Hawaii,2020,5,2/1/2020,242,226,,41,,,,,,,,71,23,0,0
Hawaii,2020,6,2/8/2020,236,217,,45,,,,,,,0,57,13,0,0
Hawaii,2020,7,2/15/2020,281,257,,54,13,,12,10,,,,58,14,0,0
Hawaii,2020,8,2/22/2020,250,230,,43,,,,11,,,,72,17,0,0
Hawaii,2020,9,2/29/2020,238,217,,48,,,,,,,,63,11,0,0
Hawaii,2020,10,3/7/2020,239,217,,49,,12,,,,,,63,16,0,0
Hawaii,2020,11,3/14/2020,243,229,,52,,18,,,,,,57,10,0,0
Hawaii,2020,12,3/21/2020,212,191,,42,,11,,13,,,,40,14,0,0
Hawaii,2020,13,3/28/2020,235,216,,62,,11,11,11,,,0,53,10,0,0
Hawaii,2020,14,4/4/2020,235,215,,47,,12,,10,,,,55,18,,
Hawaii,2020,15,4/11/2020,221,217,,60,,12,,,,,,45,17,,
Hawaii,2020,16,4/18/2020,211,193,0,52,,13,,,,,,38,26,,
Hawaii,2020,17,4/25/2020,200,186,,53,,,,,,,,37,11,,
Hawaii,2020,18,5/2/2020,223,200,,49,,13,,,,,,42,12,,
Hawaii,2020,19,5/9/2020,210,183,,46,,,,10,,,,36,17,0,0
Hawaii,2020,20,5/16/2020,230,211,,55,,10,,,,,0,37,24,0,0
Hawaii,2020,21,5/23/2020,210,194,,35,,11,,12,,,,52,18,0,0
Hawaii,2020,22,5/30/2020,200,188,,52,,10,,,,,,45,17,0,0
Hawaii,2020,23,6/6/2020,217,200,,48,,13,,,,,,59,12,0,0
Hawaii,2020,24,6/13/2020,203,184,,40,,,,,,,,46,15,0,0
Hawaii,2020,25,6/20/2020,246,227,,50,,13,,12,,,,44,18,0,0
Hawaii,2020,26,6/27/2020,236,224,,58,,17,,,,,,50,12,,
Hawaii,2020,27,7/4/2020,207,182,0,50,,10,,,,,,38,15,,
Hawaii,2020,28,7/11/2020,239,219,,55,,10,,,,,,56,26,,0
Hawaii,2020,29,7/18/2020,227,211,,62,,15,,,,,,39,12,,
Hawaii,2020,30,7/25/2020,219,204,,46,,,,,,,,52,14,,
Hawaii,2020,31,8/1/2020,217,199,,59,,,,,,,,50,15,,0
Hawaii,2020,32,8/8/2020,231,208,,45,,11,,,,,,56,20,,
Hawaii,2020,33,8/15/2020,223,209,,40,10,,,,,,,49,15,13,
Hawaii,2020,34,8/22/2020,242,224,0,46,,13,,,,,,54,19,14,14
Hawaii,2020,35,8/29/2020,255,231,,49,,18,,,,,,48,10,35,31
Hawaii,2020,36,9/5/2020,235,218,,44,,10,,,,,,48,20,31,28
Hawaii,2020,37,9/12/2020,274,256,0,62,,18,,,,,,47,23,34,31
Hawaii,2020,38,9/19/2020,242,225,,48,,11,,,,,,44,12,32,29
Hawaii,2020,39,9/26/2020,242,226,,48,,11,,,,,,44,15,26,24
Hawaii,2020,40,10/3/2020,214,197,,38,,,,,,,,42,10,20,18
Hawaii,2020,41,10/10/2020,231,214,,42,,,,,,,0,51,13,20,19
Hawaii,2020,42,10/17/2020,237,221,,49,,14,,,,,,42,20,18,17
Hawaii,2020,43,10/24/2020,237,213,,54,,13,,,,,,46,11,14,13
Hawaii,2020,44,10/31/2020,238,217,,53,,,,,,,,45,13,11,10
Hawaii,2020,45,11/7/2020,236,223,,44,,,,,,,,65,20,,
Hawaii,2020,46,11/14/2020,249,226,0,58,,15,,,,,,50,18,,
Hawaii,2020,47,11/21/2020,224,217,,52,,12,,,,,,47,15,,
Hawaii,2020,48,11/28/2020,216,194,,40,,10,,,0,,,49,17,,
Hawaii,2020,49,12/5/2020,237,216,,46,,11,,,,,,62,11,13,13
Hawaii,2020,50,12/12/2020,212,200,,35,,12,,,,,,54,21,,
Hawaii,2020,51,12/19/2020,249,234,,51,,,,10,,,,61,24,,
Hawaii,2020,52,12/26/2020,198,174,,34,,,,,,,,45,11,,
Hawaii,2020,53,1/2/2021,225,199,,54,,,,,,,,42,11,,
Hawaii,2021,1,1/9/2021,215,192,,49,,,,,,,,37,14,,
Hawaii,2021,2,1/16/2021,247,229,,53,,,,,,,,35,17,12,11
Hawaii,2021,3,1/23/2021,205,194,,41,10,,,,,,,49,11,14,13
Hawaii,2021,4,1/30/2021,228,210,,43,,,,15,,,0,50,15,10,
Hawaii,2021,5,2/6/2021,237,217,,38,12,11,,,,,,57,23,,
Hawaii,2021,6,2/13/2021,265,244,,56,10,,,,,,,57,20,,
Hawaii,2021,7,2/20/2021,251,225,0,47,,,,,,,,54,27,,
Hawaii,2021,8,2/27/2021,262,238,,61,,13,,,,,,64,14,,
Hawaii,2021,9,3/6/2021,231,214,,49,,,,,,,0,64,11,,
Hawaii,2021,10,3/13/2021,253,232,,43,,11,,,,,,71,18,,
Hawaii,2021,11,3/20/2021,234,213,,55,,,,,,,,48,13,,
Hawaii,2021,12,3/27/2021,241,220,,39,,15,,,,11,,59,18,,
Hawaii,2021,13,4/3/2021,250,231,,41,,14,,,,,,56,22,,
Hawaii,2021,14,4/10/2021,249,232,0,52,11,11,,10,,,,50,16,,
Hawaii,2021,15,4/17/2021,217,204,,51,,,,,,,,46,10,,
Hawaii,2021,16,4/24/2021,253,238,,56,,17,,,,,0,53,19,,
Hawaii,2021,17,5/1/2021,234,216,0,47,,13,,11,,,,54,18,,
Hawaii,2021,18,5/8/2021,236,218,,45,,13,,10,,,,48,17,,
Hawaii,2021,19,5/15/2021,229,210,,62,,,,,,,0,52,20,,
Hawaii,2021,20,5/22/2021,254,237,,53,,12,,14,,,,53,17,,
Hawaii,2021,21,5/29/2021,211,186,,50,,,,,,,,54,11,,
Hawaii,2021,22,6/5/2021,210,191,,43,,15,0,,,,,38,18,,
Hawaii,2021,23,6/12/2021,222,201,,49,,14,,,,,,42,22,,
Hawaii,2021,24,6/19/2021,231,210,,53,,14,,,,,,46,16,,
Hawaii,2021,25,6/26/2021,227,218,,41,11,11,,10,,,,55,16,,
Hawaii,2021,26,7/3/2021,211,193,,43,,12,,,,,,48,21,,
Hawaii,2021,27,7/10/2021,235,209,,51,11,,,,,,,44,17,,
Hawaii,2021,28,7/17/2021,238,215,,54,,,,,,,,61,18,,
Hawaii,2021,29,7/24/2021,226,197,,38,,13,,,,,,56,17,,
Hawaii,2021,30,7/31/2021,232,214,,49,,,,,,,,36,20,,
Hawaii,2021,31,8/7/2021,217,204,,49,,10,,,0,,,47,15,17,15
Hawaii,2021,32,8/14/2021,279,253,,52,,13,,,,,,56,26,25,24
Hawaii,2021,33,8/21/2021,302,272,,48,,11,,,,,,66,16,35,34
Hawaii,2021,34,8/28/2021,315,297,,44,13,17,,,,,,70,21,53,49
Hawaii,2021,35,9/4/2021,307,296,,40,,14,,11,,,,59,17,60,55
Hawaii,2021,36,9/11/2021,312,292,,42,10,12,,,,,,63,19,66,65
Hawaii,2021,37,9/18/2021,267,252,,38,,,,10,,,,57,20,58,53
Hawaii,2021,38,9/25/2021,317,300,,59,,,,,,,,56,23,58,55
Hawaii,2021,39,10/2/2021,266,249,,52,11,13,,11,,,,49,17,39,34
Hawaii,2021,40,10/9/2021,272,250,,62,,12,,12,,,,49,10,21,20
Hawaii,2021,41,10/16/2021,262,234,,46,,,,,,,,46,22,31,25
Hawaii,2021,42,10/23/2021,261,238,,65,,,,,,,,42,24,17,16
Hawaii,2021,43,10/30/2021,244,229,,39,13,13,,10,,,,54,15,16,13
Hawaii,2021,44,11/6/2021,258,240,,46,10,,,13,,,,53,19,14,12
Hawaii,2021,45,11/13/2021,251,239,,65,,10,,11,0,,,51,24,10,
Hawaii,2021,46,11/20/2021,238,220,,52,,13,,,,,,41,20,11,10
Hawaii,2021,47,11/27/2021,227,212,,40,,14,,,,,,41,19,,
Hawaii,2021,48,12/4/2021,250,227,,49,,,,,,,,60,20,,
Hawaii,2021,49,12/11/2021,236,221,,43,,12,,,,,,52,20,,
Hawaii,2021,50,12/18/2021,252,230,,43,,11,,,,,,56,21,,
Hawaii,2021,51,12/25/2021,250,235,,61,,12,,10,,,,45,19,,
Hawaii,2021,52,1/1/2022,242,220,,54,,10,,,,,,43,19,11,
Hawaii,2022,1,1/8/2022,255,237,,52,,,,,,,,58,14,20,15
Hawaii,2022,2,1/15/2022,304,277,,53,,11,,,,,,64,26,27,19
Hawaii,2022,3,1/22/2022,324,309,,49,10,,,,,10,,72,20,61,48
Hawaii,2022,4,1/29/2022,314,287,,51,12,,10,,,,,65,25,41,36
Hawaii,2022,5,2/5/2022,309,286,,52,,15,,,,,,57,15,50,44
Hawaii,2022,6,2/12/2022,292,278,,56,,,,12,,,,68,23,31,26
Hawaii,2022,7,2/19/2022,266,242,,52,,12,,,,,,50,22,19,14
Hawaii,2022,8,2/26/2022,278,251,,49,,13,,10,,,,65,18,15,14
Hawaii,2022,9,3/5/2022,244,226,,50,,11,,,,,,54,13,,
Hawaii,2022,10,3/12/2022,247,234,,54,,,,,,,,46,24,10,
Hawaii,2022,11,3/19/2022,242,223,,44,,11,,,,,,58,22,,
Hawaii,2022,12,3/26/2022,224,209,,53,12,,,,,,,52,12,,0
Hawaii,2022,13,4/2/2022,200,187,,48,,,,,,,,40,,,
Hawaii,2022,14,4/9/2022,275,246,,49,,13,,,,,,62,16,,
Hawaii,2022,15,4/16/2022,224,209,,46,,19,,,,,,41,16,,
Hawaii,2022,16,4/23/2022,252,221,,52,11,,,,,,,48,16,,
Hawaii,2022,17,4/30/2022,223,209,,53,,,,,,,,46,20,,
Hawaii,2022,18,5/7/2022,230,216,,43,11,11,,,,,10,48,20,,
Hawaii,2022,19,5/14/2022,252,231,,55,,19,,,,,,69,19,,
Hawaii,2022,20,5/21/2022,262,246,0,46,,19,,,,,,61,11,11,
Hawaii,2022,21,5/28/2022,268,256,0,51,10,,,,,,,63,17,,
Hawaii,2022,22,6/4/2022,254,232,,35,,12,10,,,,,54,17,15,
Hawaii,2022,23,6/11/2022,264,245,,49,,,,,,,,70,16,15,10
Hawaii,2022,24,6/18/2022,242,225,,54,,10,,,,,15,51,21,17,10
Hawaii,2022,25,6/25/2022,238,226,,47,,13,,,,,12,48,,19,14
Hawaii,2022,26,7/2/2022,247,235,,57,,,,,,11,,45,22,11,
Hawaii,2022,27,7/9/2022,236,227,,35,,16,,,0,,16,42,17,19,10
Hawaii,2022,28,7/16/2022,223,209,,49,,,,,,,10,42,15,15,12
Hawaii,2022,29,7/23/2022,243,233,,50,,10,,,,,17,51,17,11,
Hawaii,2022,30,7/30/2022,228,222,,41,,15,,10,,10,16,50,,,
Hawaii,2022,31,8/6/2022,240,229,,48,,15,,,,,17,49,,15,
Hawaii,2022,32,8/13/2022,249,242,,49,,,,,,,16,53,23,,
Hawaii,2022,33,8/20/2022,249,236,,43,,13,,,,,30,42,21,13,
Hawaii,2022,34,8/27/2022,226,210,,51,,,,,,,26,35,11,10,
Hawaii,2022,35,9/3/2022,241,231,,60,,16,,,,,23,41,12,10,
Hawaii,2022,36,9/10/2022,212,207,,45,,,,,,,33,40,,,
Hawaii,2022,37,9/17/2022,196,195,,28,,,,,,,39,37,16,,
Hawaii,2022,38,9/24/2022,150,150,,27,,,,,,0,26,30,13,,
